sku;nama_produk;gambar;barcode;sni
BB- ASFM01MKBL;Mangkok Blue Wheatstraw;;;?
BB- ASFM01MKGR;Mangkok Green Wheatstraw;;;?
BB- ASFM01MKPK;Mangkok Pink Wheatstraw;;;?
BB- ASFM01PR4PCS;Piring Famlia 4 pcs (Set) 4 Warna;;;?
BB-ASFM01PRBG;Piring Beige Wheatstraw;;;?
BB-ASFM01PRBL;Piring Blue Wheatstraw;;;?
BB-ASFM01PRGR;Piring Green Wheatstraw;;;?
BB-ASFM01PRPK;Piring Pink Wheatstraw;;;?
BB-ASPMBM;Botol Minyak - Asta;;;?
BB-ASPMES;Pemisah Telur Plastik / Egg Seperator;;;?
BB-ASPS02MP17;Lemona Milk Pan 17 cm;;;
BB-ASPS02SL;Soup Ladle Nylon Black;;;?
BB-ASPS02SP23;"Lemona Soup Pan
+ Tutup 23 cm";;;
BB-ASPS02ST;Spatula Nylon Black;;;?
B-ASPS02WP32;Lemona Wok Pan 32 cm;;;
B-ASPS07WKPK;DEFFECT Wok Pan Valentina;;;
BB-ASPS09CB;Talenan Kiwiz;;;?
BB-ASPS10WS;Talenan Rosie;;;?
